HP Frac,WWR,Wall R-Val,Win U-Val,Win SHGC,EUI (kWh/m2),TEDI (kWh/m2),GHGI (kgCO2/m2)
0,0.35,6,0.24,0.3,95.26,34.02,10.46
0,0.35,6,0.24,0.35,94.40,33.16,10.28
0,0.35,6,0.24,0.4,94.12,32.87,10.22
0,0.35,6,0.28,0.3,99.00,37.37,11.15
0,0.35,6,0.28,0.35,98.06,36.46,10.96
0,0.35,6,0.28,0.4,97.34,35.75,10.81
0,0.35,6,0.32,0.3,102.46,40.44,11.78
0,0.35,6,0.32,0.35,101.47,39.50,11.58
0,0.35,6,0.32,0.4,100.56,38.61,11.40
0,0.35,6,0.36,0.3,105.75,43.34,12.38
0,0.35,6,0.36,0.35,104.72,42.37,12.17
0,0.35,6,0.36,0.4,103.76,41.45,11.99
0,0.35,6,0.4,0.3,109.02,46.21,12.97
0,0.35,6,0.4,0.35,107.94,45.21,12.76
0,0.35,6,0.4,0.4,106.95,44.26,12.57
0,0.35,6,0.44,0.3,112.26,49.06,13.55
0,0.35,6,0.44,0.35,111.15,48.03,13.34
0,0.35,6,0.44,0.4,110.11,47.06,13.14
0,0.35,6,0.48,0.3,115.48,51.88,14.13
0,0.35,6,0.48,0.35,114.33,50.82,13.92
0,0.35,6,0.48,0.4,113.26,49.83,13.71
0,0.35,8,0.24,0.3,92.97,32.00,10.04
0,0.35,8,0.24,0.35,92.14,31.16,9.87
0,0.35,8,0.24,0.4,91.87,30.88,9.81
0,0.35,8,0.28,0.3,96.67,35.33,10.72
0,0.35,8,0.28,0.35,95.77,34.44,10.54
0,0.35,8,0.28,0.4,95.08,33.74,10.40
0,0.35,8,0.32,0.3,100.12,38.38,11.35
0,0.35,8,0.32,0.35,99.16,37.46,11.16
0,0.35,8,0.32,0.4,98.28,36.59,10.99
0,0.35,8,0.36,0.3,103.40,41.28,11.95
0,0.35,8,0.36,0.35,102.39,40.32,11.75
0,0.35,8,0.36,0.4,101.46,39.42,11.57
0,0.35,8,0.4,0.3,106.66,44.15,12.54
0,0.35,8,0.4,0.35,105.60,43.16,12.34
0,0.35,8,0.4,0.4,104.63,42.23,12.15
0,0.35,8,0.44,0.3,109.89,46.99,13.13
0,0.35,8,0.44,0.35,108.80,45.97,12.92
0,0.35,8,0.44,0.4,107.79,45.02,12.72
0,0.35,8,0.48,0.3,113.11,49.81,13.71
0,0.35,8,0.48,0.35,111.98,48.77,13.49
0,0.35,8,0.48,0.4,110.93,47.78,13.29
0,0.35,10,0.24,0.3,91.31,30.53,9.74
0,0.35,10,0.24,0.35,90.51,29.71,9.57
0,0.35,10,0.24,0.4,90.25,29.43,9.51
0,0.35,10,0.28,0.3,94.98,33.83,10.42
0,0.35,10,0.28,0.35,94.10,32.96,10.24
0,0.35,10,0.28,0.4,93.43,32.28,10.10
0,0.35,10,0.32,0.3,98.41,36.88,11.04
0,0.35,10,0.32,0.35,97.47,35.97,10.86
0,0.35,10,0.32,0.4,96.61,35.12,10.68
0,0.35,10,0.36,0.3,101.68,39.77,11.64
0,0.35,10,0.36,0.35,100.69,38.82,11.44
0,0.35,10,0.36,0.4,99.78,37.93,11.26
0,0.35,10,0.4,0.3,104.93,42.63,12.23
0,0.35,10,0.4,0.35,103.89,41.66,12.03
0,0.35,10,0.4,0.4,102.94,40.74,11.84
0,0.35,10,0.44,0.3,108.16,45.47,12.81
0,0.35,10,0.44,0.35,107.09,44.47,12.61
0,0.35,10,0.44,0.4,106.09,43.52,12.41
0,0.35,10,0.48,0.3,111.37,48.29,13.39
0,0.35,10,0.48,0.35,110.26,47.26,13.18
0,0.35,10,0.48,0.4,109.22,46.29,12.98
0,0.35,12,0.24,0.3,90.04,29.41,9.51
0,0.35,12,0.24,0.35,89.27,28.61,9.34
0,0.35,12,0.24,0.4,89.02,28.34,9.29
0,0.35,12,0.28,0.3,93.69,32.69,10.18
0,0.35,12,0.28,0.35,92.83,31.84,10.01
0,0.35,12,0.28,0.4,92.17,31.16,9.87
0,0.35,12,0.32,0.3,97.10,35.73,10.81
0,0.35,12,0.32,0.35,96.18,34.83,10.62
0,0.35,12,0.32,0.4,95.34,33.99,10.45
0,0.35,12,0.36,0.3,100.36,38.61,11.40
0,0.35,12,0.36,0.35,99.39,37.68,11.21
0,0.35,12,0.36,0.4,98.50,36.80,11.03
0,0.35,12,0.4,0.3,103.61,41.48,11.99
0,0.35,12,0.4,0.35,102.59,40.51,11.79
0,0.35,12,0.4,0.4,101.65,39.60,11.61
0,0.35,12,0.44,0.3,106.84,44.32,12.57
