HP Fraction,Window U-Value,Window SHGC,Wall R-Value,Glazing Ratio,Cooling kWh-m2,Heating kWh-m2,DHW kWh-m2,Lighting kWh-m2,TEDI kWh-m2,EUI kWh-m2
0,0.28,0.31,6,0.3,9.837296516,42.6398213,9.9112,18.98729883,38.37583917,123.5995283
0,0.32,0.31,6,0.3,9.592172828,44.15951982,9.9112,18.96628287,39.74356783,124.8125154
0,0.36,0.31,6,0.3,9.4909567,45.58192659,9.9112,18.96628693,41.02373393,126.1296981
0,0.28,0.38,6,0.3,10.76324377,42.25649192,9.9112,18.79192158,38.03084273,124.2108204
0,0.32,0.38,6,0.3,10.59583425,43.71094744,9.9112,18.78414561,39.33985269,125.4715038
0,0.36,0.38,6,0.3,10.48431331,45.1151802,9.9112,18.78414848,40.60366218,126.7589711
0,0.28,0.31,13,0.3,9.723859358,35.68928227,9.9112,18.98729883,32.12035405,116.3897034
0,0.32,0.31,13,0.3,9.450230555,37.13499776,9.9112,18.96628287,33.42149799,117.4842224
0,0.36,0.31,13,0.3,9.38566216,38.49300331,9.9112,18.96628693,34.64370298,118.7836963
0,0.32,0.38,13,0.3,10.49787929,36.73194668,9.9112,18.78414561,33.05875201,118.2398317
0,0.36,0.38,13,0.3,10.42161934,38.061439,9.9112,18.78414848,34.2552951,119.4993361
0,0.28,0.31,20,0.3,9.737148694,33.38437297,9.9112,18.98729883,30.04593568,114.0926657
0,0.32,0.31,20,0.3,9.451091423,34.79204753,9.9112,18.96628287,31.31284278,115.1173406
0,0.36,0.31,20,0.3,9.318083198,36.12405648,9.9112,18.96628693,32.51165084,116.2888411
0,0.28,0.38,20,0.3,10.71167291,33.03012274,9.9112,18.79192158,29.72711046,114.7850645
0,0.32,0.38,20,0.3,10.50030579,34.39217262,9.9112,18.78414561,30.95295535,115.881533
0,0.36,0.38,20,0.3,10.36702489,35.71397296,9.9112,18.78414848,32.14257566,117.0446114
0,0.28,0.31,6,0.35,10.29891102,43.2526064,9.9112,18.88203511,38.92734576,124.7226886
0,0.32,0.31,6,0.35,10.01424434,45.01928731,9.9112,18.86038011,40.51735858,126.1365651
0,0.36,0.31,6,0.35,9.892651455,46.6726248,9.9112,18.86038475,42.00536232,127.6671321
0,0.28,0.38,6,0.35,11.38070164,42.77875567,9.9112,18.69594647,38.5008801,125.4463702
0,0.36,0.38,6,0.35,11.04860375,46.12555229,9.9112,18.68838434,41.51299706,128.4304585
0,0.28,0.31,13,0.35,10.19773005,36.779387,9.9112,18.88203511,33.1014483,118.0052578
0,0.32,0.31,13,0.35,9.940393538,38.44782251,9.9112,18.86038011,34.60304026,119.3552592
0,0.36,0.31,13,0.35,9.801094868,40.04213348,9.9112,18.86038475,36.03792013,120.797726
0,0.28,0.38,13,0.35,11.32123464,36.35696095,9.9112,18.69594647,32.72126485,118.8326842
0,0.32,0.38,13,0.35,11.15173823,37.97836462,9.9112,18.68838109,34.18052816,120.2628603
0,0.36,0.38,13,0.35,10.99778702,39.56504614,9.9112,18.68838434,35.60854152,121.6813186
0,0.28,0.31,20,0.35,10.20379812,34.60326987,9.9112,18.88203511,31.14294288,115.8150029
0,0.32,0.31,20,0.35,9.876443615,36.26532934,9.9112,18.86038011,32.63879641,117.0549957
0,0.36,0.31,20,0.35,9.78704083,37.82028161,9.9112,18.86038475,34.03825345,118.5210294
0,0.28,0.38,20,0.35,11.33701238,34.19703808,9.9112,18.69594647,30.77733427,116.669674
0,0.32,0.38,20,0.35,11.10668201,35.8052642,9.9112,18.68838109,32.22473778,117.9968767
0,0.36,0.38,20,0.35,10.99989805,37.35587841,9.9112,18.68838434,33.62029057,119.4383085
0,0.28,0.31,6,0.4,10.75416442,43.86761215,9.9112,18.79365308,39.48085094,125.8549603
0,0.32,0.31,6,0.4,10.42566883,45.88497163,9.9112,18.77217437,41.29647447,127.4726506
0,0.36,0.31,6,0.4,10.28696604,47.77233052,9.9112,18.77217848,42.99509747,129.2215337
0,0.28,0.38,6,0.4,11.98845493,43.35449781,9.9112,18.61939636,39.01904803,126.7443686
0,0.32,0.38,6,0.4,11.76049781,45.27333004,9.9112,18.61202254,40.74599704,128.4051768
0,0.36,0.38,6,0.4,11.60294879,47.13649213,9.9112,18.61202541,42.42284292,130.1072389
0,0.28,0.31,13,0.4,10.71503661,37.85719602,9.9112,18.79365308,34.07147642,119.6870516
0,0.32,0.31,13,0.4,10.36271701,39.79436773,9.9112,18.77217437,35.81493095,121.1894072
0,0.36,0.31,13,0.4,10.20386814,41.61951307,9.9112,18.77217848,37.45756176,122.8435553
0,0.28,0.38,13,0.4,11.99261464,37.40100417,9.9112,18.61939636,33.66090376,120.6889071
0,0.32,0.38,13,0.4,11.73874918,39.25589274,9.9112,18.61202254,35.33030347,122.2448387
0,0.36,0.38,13,0.4,11.56237296,41.04547171,9.9112,18.61202541,36.94092454,123.8452176
0,0.28,0.31,20,0.4,10.66506726,35.86093105,9.9112,18.79365308,32.27483795,117.5946473
0,0.32,0.31,20,0.4,10.35685996,37.75185631,9.9112,18.77217437,33.97667068,119.1055439
0,0.36,0.31,20,0.4,10.19358951,39.54600697,9.9112,18.77217848,35.59140627,120.7213987
0,0.28,0.38,20,0.4,11.96357112,35.40839071,9.9112,18.61939636,31.86755164,118.6275508
0,0.32,0.38,20,0.4,11.74842773,37.2297629,9.9112,18.61202254,33.50678661,120.1989489
0,0.36,0.38,20,0.4,11.56633548,38.99957956,9.9112,18.61202541,35.0996216,121.7664898
0,0.28,0.31,6,0.45,11.20938182,44.44491314,9.9112,18.72136364,40.00042183,126.963179
0,0.32,0.31,6,0.45,10.83754092,46.72058773,9.9112,18.70034433,42.04852896,128.7930951
0,0.36,0.31,6,0.45,10.68076319,48.86265805,9.9112,18.70034808,43.97639224,130.7812669
0,0.28,0.38,6,0.45,12.59111204,43.92533455,9.9112,18.55704791,39.53280109,128.044086
0,0.32,0.38,6,0.45,12.3305526,46.09021523,9.9112,18.54975092,41.48119371,129.9184255
0,0.36,0.38,6,0.45,12.15163529,48.18394714,9.9112,18.54975373,43.36555242,131.8309518
0,0.28,0.31,13,0.45,11.18146576,38.94552359,9.9112,18.72136364,35.05097123,121.3269572
0,0.32,0.31,13,0.45,10.78307891,41.13906353,9.9112,18.70034433,37.02515718,123.0361546
0,0.36,0.31,13,0.45,10.60697022,43.20536685,9.9112,18.70034808,38.88483016,124.9147416
0,0.28,0.38,13,0.45,12.60268356,38.46292485,9.9112,18.55704791,34.61663237,122.4924589
0,0.32,0.38,13,0.45,12.32034089,40.54841709,9.9112,18.54975092,36.49357538,124.2528786
0,0.36,0.38,13,0.45,12.12226533,42.56485172,9.9112,18.54975373,38.30836655,126.0568556
0,0.28,0.31,20,0.45,11.18426697,37.0900272,9.9112,18.72136364,33.38102448,119.446339
0,0.32,0.31,20,0.45,10.77791534,39.25429041,9.9112,18.70034433,35.32886137,121.1108834
0,0.36,0.31,20,0.45,10.59351768,41.29788073,9.9112,18.70034808,37.16809266,122.9572297
0,0.28,0.38,20,0.45,12.57616539,36.62600717,9.9112,18.55704759,32.96340645,120.5878003
0,0.32,0.38,20,0.45,12.32974375,38.68507773,9.9112,18.54975092,34.81656996,122.367535
0,0.36,0.38,20,0.45,12.12594279,40.68013037,9.9112,18.54975373,36.61211734,124.1413367
